compiler,port,server_threads,parallel_bench_processes,repetition,success,failed,total_iterations,downloads_per_process,elapsed_s,idle_power_w,energy_j_raw,idle_energy_j_estimated,energy_j,real_transferred_bytes,throughput_mib_s
gcc,8080,1,1,15,1,0,1,1.0,0.22375503700095578,13.170072646666666,5.219822,2.9468700923601756,2.272951907639824,1073741824,4576.433289390602
gcc,8080,1,1,16,1,0,1,1.0,0.20236683599978278,13.170072646666666,4.932164,2.6651859313932182,2.266978068606782,1073741824,5060.117656833351
gcc,8080,1,1,17,1,0,1,1.0,0.15027876699969056,13.170072646666666,4.184781,1.979182278637418,2.2055987213625823,1073741824,6814.00320513748
gcc,8080,1,1,18,1,0,1,1.0,0.16947746200094116,13.170072646666666,4.487485,2.2320304865250846,2.2554545134749158,1073741824,6042.101338491329
gcc,8080,1,1,19,1,0,1,1.0,0.14959618600005342,13.170072646666666,4.252374,1.9701926372849625,2.282181362715037,1073741824,6845.094299393664
gcc,8080,1,1,20,1,0,1,1.0,0.16222752899921034,13.170072646666666,4.410401,2.1365483422088234,2.273852657791177,1073741824,6312.122278611446
gcc,8080,1,1,21,1,0,1,1.0,0.2046923310008424,13.170072646666666,4.997178,2.6958128694966335,2.3013651305033664,1073741824,5002.630020348861
gcc,8080,1,1,22,1,0,1,1.0,0.15077549799934786,13.170072646666666,4.307227,1.9857242619887558,2.3215027380112443,1073741824,6791.554420894229
gcc,8080,1,1,23,1,0,1,1.0,0.16163365399916074,13.170072646666666,4.440581,2.1287269653151313,2.3118540346848686,1073741824,6335.314302832731
gcc,8080,1,1,24,1,0,1,1.0,0.14926555000056396,13.170072646666666,4.289589,1.965838137152083,2.323750862847917,1073741824,6860.256770541703
gcc,8080,1,1,25,1,0,1,1.0,0.17075216800003545,13.170072646666666,4.63683,2.248818457136298,2.3880115428637017,1073741824,5996.9955989067585
gcc,8080,1,1,26,1,0,1,1.0,0.16298981299951265,13.170072646666666,4.434174,2.1465876778701967,2.287586322129803,1073741824,6282.601232281074
gcc,8080,1,2,0,2,0,2,1.0,0.284450373999789,13.170072646666666,8.29994,3.7462320899487245,4.5537079100512745,2147483648,7199.849911259104
gcc,8080,1,2,1,2,0,2,1.0,0.27446218600016437,13.170072646666666,7.878789,3.6146869283851037,4.2641020716148965,2147483648,7461.865803250484
gcc,8080,1,2,2,2,0,2,1.0,0.2648764490004396,13.170072646666666,8.141394,3.488442075726888,4.652951924273112,2147483648,7731.90673511559
gcc,8080,1,2,3,2,0,2,1.0,0.30451175599955604,13.170072646666666,8.438773,4.010441948278187,4.428331051721813,2147483648,6725.52031128475
gcc,8080,1,2,4,2,0,2,1.0,0.27335086400125874,13.170072646666666,8.018353,3.600050736925678,4.418302263074322,2147483648,7492.202402515798
gcc,8080,1,2,5,2,0,2,1.0,0.2721847259999777,13.170072646666666,7.832588,3.5846926147327673,4.247895385267233,2147483648,7524.301712654398
gcc,8080,1,2,6,2,0,2,1.0,0.27381229899947357,13.170072646666666,8.121895,3.6061278693738816,4.515767130626118,2147483648,7479.576364843778
gcc,8080,1,2,7,2,0,2,1.0,0.2762972440013982,13.170072646666666,8.028271,3.6388547755722,4.3894162244278,2147483648,7412.30701522899
gcc,8080,1,2,8,2,0,2,1.0,0.31144421200042416,13.170072646666666,8.583647,4.101742897429441,4.481904102570558,2147483648,6575.816538203031
gcc,8080,1,2,9,2,0,2,1.0,0.2863160710003285,13.170072646666666,8.206836,3.770803454982498,4.436032545017501,2147483648,7152.934143182099
gcc,8080,1,2,10,2,0,2,1.0,0.2882812730003934,13.170072646666666,8.442847,3.796685308088727,4.646161691911273,2147483648,7104.172874931092
gcc,8080,1,2,11,2,0,2,1.0,0.2952473320001445,13.170072646666666,9.641423,3.888428811176415,5.7529941888235845,2147483648,6936.557177759688
gcc,8080,1,2,12,2,0,2,1.0,0.2820675200000551,13.170072646666666,8.275329,3.7148497296658283,4.560479270334171,2147483648,7260.672905549707
gcc,8080,1,2,13,2,0,2,1.0,0.2690436550001323,13.170072646666666,7.97821,3.5433244814764655,4.434885518523535,2147483648,7612.147552779094
gcc,8080,1,2,14,2,0,2,1.0,0.2583801979999407,13.170072646666666,7.892154,3.4028859781193366,4.4892680218806635,2147483648,7926.304011890532
gcc,8080,1,2,15,2,0,2,1.0,0.33753541199985193,13.170072646666666,9.012184,4.445365896860613,4.566818103139386,2147483648,6067.511517875637
gcc,8080,1,2,16,2,0,2,1.0,0.30799831399963296,13.170072646666666,9.516918,4.056360170426017,5.460557829573983,2147483648,6649.387048275987
gcc,8080,1,2,17,2,0,2,1.0,0.27987299900087237,13.170072646666666,8.207843,3.685947728681956,4.521895271318044,2147483648,7317.604796858651
gcc,8080,1,2,18,2,0,2,1.0,0.27775577000102203,13.170072646666666,8.493549,3.658063668944298,4.835485331055702,2147483648,7373.384178454562
gcc,8080,1,2,19,2,0,2,1.0,0.28253242400023737,13.170072646666666,8.27455,3.7209725491219547,4.553577450878045,2147483648,7248.725548039327
gcc,8080,1,2,20,2,0,2,1.0,0.3053992870009097,13.170072646666666,8.675379,4.022130796042183,4.6532482039578165,2147483648,6705.975053549813
gcc,8080,1,2,21,2,0,2,1.0,0.28199229299934814,13.170072646666666,8.312177,3.713858984601527,4.598318015398473,2147483648,7262.609833116021
gcc,8080,1,2,22,2,0,2,1.0,0.3343828380002378,13.170072646666666,8.722922,4.403846268261703,4.319075731738297,2147483648,6124.716245151742
gcc,8080,1,2,23,2,0,2,1.0,0.2740536550008983,13.170072646666666,7.867101,3.609306545446354,4.257794454553646,2147483648,7472.989185250191
gcc,8080,1,2,24,2,0,2,1.0,0.28013745399948675,13.170072646666666,8.070734,3.689430620225482,4.3813033797745184,2147483648,7310.696841000605
gcc,8080,1,2,25,2,0,2,1.0,0.2771332150005037,13.170072646666666,7.94098,3.649864574360926,4.291115425639074,2147483648,7389.947827063161
gcc,8080,1,2,26,2,0,2,1.0,0.27899010100009036,13.170072646666666,8.093973,3.674319897872061,4.419653102127939,2147483648,7340.762244461629
gcc,8080,1,4,0,4,0,4,1.0,0.5840034739994735,13.170072646666666,16.645089,7.691368178478774,8.953720821521225,4294967296,7013.656908492453
gcc,8080,1,4,1,4,0,4,1.0,0.5604795390008803,13.170072646666666,16.359323,7.381556245611837,8.977766754388163,4294967296,7308.027706598521
gcc,8080,1,4,2,4,0,4,1.0,0.5310695530006342,13.170072646666666,16.111471,6.994224593451146,9.117246406548855,4294967296,7712.737393542704
gcc,8080,1,4,3,4,0,4,1.0,0.5884221749984135,13.170072646666666,17.018956,7.749562791638713,9.269393208361286,4294967296,6960.9885113711825
gcc,8080,1,4,4,4,0,4,1.0,0.5357649050001783,13.170072646666666,15.786232,7.056062720386812,8.730169279613188,4294967296,7645.144282077672
gcc,8080,1,4,5,4,0,4,1.0,0.5316217240015249,13.170072646666666,16.012814,7.001496725646258,9.01131727435374,4294967296,7704.726528422024
gcc,8080,1,4,6,4,0,4,1.0,0.5411898999991536,13.170072646666666,16.195589,7.127510298631121,9.068078701368878,4294967296,7568.507838018422
gcc,8080,1,4,7,4,0,4,1.0,0.5746528760009824,13.170072646666666,16.394934,7.568220123548869,8.82671387645113,4294967296,7127.7812590169615
gcc,8080,1,4,8,4,0,4,1.0,0.5343736790000548,13.170072646666666,16.202257,7.037740172897256,9.164516827102744,4294967296,7665.048188123015
gcc,8080,1,4,9,4,0,4,1.0,0.5637833910004701,13.170072646666666,16.626429,7.42506821646027,9.201360783539732,4294967296,7265.201610021506
gcc,8080,1,4,10,4,0,4,1.0,0.5596604870006558,13.170072646666666,16.39054,7.370769271267483,9.019770728732517,4294967296,7318.722859909887
gcc,8080,1,4,11,4,0,4,1.0,0.5280704320011864,13.170072646666666,16.218155,6.954725952012275,9.263429047987724,4294967296,7756.541081987331
gcc,8080,1,4,12,4,0,4,1.0,0.5319053439998243,13.170072646666666,16.781985,7.005232021627909,9.776752978372091,4294967296,7700.618251358184
gcc,8080,1,4,13,4,0,4,1.0,0.5426398990002781,13.170072646666666,16.07151,7.1466068908135245,8.924903109186475,4294967296,7548.283875819277
gcc,8080,1,4,14,4,0,4,1.0,0.5806196670000645,13.170072646666666,16.622859,7.646803194474258,8.97605580552574,4294967296,7054.531964380643
gcc,8080,1,4,15,4,0,4,1.0,0.5976274780005042,13.170072646666666,17.249032,7.870797300910825,9.378234699089175,4294967296,6853.767858372376
gcc,8080,1,4,16,4,0,4,1.0,0.5540006549999816,13.170072646666666,16.098471,7.2962288726506745,8.802242127349325,4294967296,7393.493063650143
gcc,8080,1,4,17,4,0,4,1.0,0.5520789879992662,13.170072646666666,16.363107,7.270920378648551,9.092186621351448,4294967296,7419.22820653599
gcc,8080,1,4,18,4,0,4,1.0,0.5624659759996575,13.170072646666666,16.376869,7.407717765193759,8.96915123480624,4294967296,7282.218258127126
gcc,8080,1,4,19,4,0,4,1.0,0.5834959919993707,13.170072646666666,17.200648,7.6846846036705445,9.515963396329457,4294967296,7019.756872647751
gcc,8080,1,4,20,4,0,4,1.0,0.5943935880004574,13.170072646666666,16.728948,7.82820673467888,8.90074126532112,4294967296,6891.056839591695
gcc,8080,1,4,21,4,0,4,1.0,0.5824207219993696,13.170072646666666,17.017171,7.670523219655748,9.346647780344252,4294967296,7032.716806398989
gcc,8080,1,4,22,4,0,4,1.0,0.6161297740000009,13.170072646666666,17.178768,8.114473883354327,9.064294116645675,4294967296,6647.9501118866465
gcc,8080,1,4,23,4,0,4,1.0,0.5240196670001751,13.170072646666666,15.406064,6.901377082674381,8.50468691732562,4294967296,7816.500520768873
gcc,8080,1,4,24,4,0,4,1.0,0.5494464380008139,13.170072646666666,16.415182,7.236249503922952,9.17893249607705,4294967296,7454.7757828833755
gcc,8080,1,4,25,4,0,4,1.0,0.5390184689986199,13.170072646666666,15.953551,7.098912394606869,8.85463860539313,4294967296,7598.997503015963
gcc,8080,1,4,26,4,0,4,1.0,0.5722763360008685,13.170072646666666,16.693015,7.53692091909966,9.156094080900338,4294967296,7157.381394840314
gcc,8080,1,8,0,8,0,8,1.0,1.1367588030007028,13.170072646666666,33.504157,14.971196017257096,18.532960982742903,8589934592,7206.45397983774
gcc,8080,1,8,1,8,0,8,1.0,1.0964710150001338,13.170072646666666,33.607942,14.440602922516097,19.167339077483902,8589934592,7471.241727259886
gcc,8080,1,8,2,8,0,8,1.0,1.1174226800012548,13.170072646666666,32.081364,14.716537872649484,17.36482612735052,8589934592,7331.156013399335
gcc,8080,1,8,3,8,0,8,1.0,1.0907979889998387,13.170072646666666,31.898421,14.365888757965783,17.532532242034215,8589934592,7510.09818739335
gcc,8080,1,8,4,8,0,8,1.0,1.1102255200003128,13.170072646666666,32.167297,14.621750752587396,17.545546247412602,8589934592,7378.681044908508
gcc,8080,1,8,5,8,0,8,1.0,1.0733556909999606,13.170072646666666,32.394733,14.13617242618258,18.258560573817423,8589934592,7632.1391582394845
gcc,8080,1,8,6,8,0,8,1.0,1.0375440339994384,13.170072646666666,30.815438,13.664530301888194,17.15090769811181,8589934592,7895.568507509181
gcc,8080,1,8,7,8,0,8,1.0,1.1285775399992417,13.170072646666666,33.664748,14.863448189186368,18.801299810813635,8589934592,7258.6948700091125
gcc,8080,1,8,8,8,0,8,1.0,1.1865792369990231,13.170072646666666,34.488313,15.627334752303438,18.860978247696558,8589934592,6903.87944147614
gcc,8080,1,8,9,8,0,8,1.0,1.0842598380004347,13.170072646666666,31.28334,14.279780834328756,17.00355916567124,8589934592,7555.384523978574
gcc,8080,1,8,10,8,0,8,1.0,1.0436758550004015,13.170072646666666,31.326337,13.745286829927233,17.581050170072764,8589934592,7849.18033769867
gcc,8080,1,8,11,8,0,8,1.0,1.0903205369995703,13.170072646666666,31.623167,14.359600680436952,17.263566319563047,8589934592,7513.386863778049
gcc,8080,1,8,12,8,0,8,1.0,1.1496132490010496,13.170072646666666,34.332118,15.140490004914318,19.191627995085682,8589934592,7125.874729713141
gcc,8080,1,8,13,8,0,8,1.0,1.047639751999668,13.170072646666666,31.109688,13.797491641371478,17.31219635862852,8589934592,7819.481825086946
gcc,8080,1,8,14,8,0,8,1.0,1.0835205340008542,13.170072646666666,32.127031,14.27004414694631,17.85698685305369,8589934592,7560.5396879294785
gcc,8080,1,8,15,8,0,8,1.0,1.105780068999593,13.170072646666666,32.626884,14.563203839960718,18.06368016003928,8589934592,7408.3447781902605
gcc,8080,1,8,16,8,0,8,1.0,1.0574109330009378,13.170072646666666,31.548997,13.92617880500193,17.622818194998068,8589934592,7747.224607136472
gcc,8080,1,8,17,8,0,8,1.0,1.0277360330001102,13.170072646666666,31.511081,13.535358216208461,17.97572278379154,8589934592,7970.918345721874
gcc,8080,1,8,18,8,0,8,1.0,1.097352253000281,13.170072646666666,31.592803,14.45220889099704,17.14059410900296,8589934592,7465.241883453719
gcc,8080,1,8,19,8,0,8,1.0,1.108709945998271,13.170072646666666,32.882195,14.601790532879106,18.280404467120896,8589934592,7388.76748564207
gcc,8080,1,8,20,8,0,8,1.0,1.1155093090001174,13.170072646666666,32.763701,14.69133863756448,18.07236236243552,8589934592,7343.7307370772805
gcc,8080,1,8,21,8,0,8,1.0,1.1017728469996655,13.170072646666666,33.962996,14.510428435110352,19.452567564889645,8589934592,7435.289426771004
gcc,8080,1,8,22,8,0,8,1.0,1.0647521570008394,13.170072646666666,31.153968,14.022863258396086,17.131104741603913,8589934592,7693.809255174434
gcc,8080,1,8,23,8,0,8,1.0,1.0813333500009321,13.170072646666666,32.142548,14.241238774775708,17.90130922522429,8589934592,7575.83218902195
gcc,8080,1,8,24,8,0,8,1.0,1.0777131830000144,13.170072646666666,31.70646,14.193560912380557,17.512899087619445,8589934592,7601.280312073431
gcc,8080,1,8,25,8,0,8,1.0,1.1622451299990644,13.170072646666666,32.743577,15.306852795322222,17.43672420467778,8589934592,7048.427038800838
gcc,8080,1,8,26,8,0,8,1.0,1.1592597550006758,13.170072646666666,33.69772,15.267535189715902,18.430184810284096,8589934592,7066.578447722637
gcc,8080,1,16,0,16,0,16,1.0,2.1984906699999556,13.170072646666666,66.674301,28.954281836918287,37.720019163081716,17179869184,7452.385504096923
gcc,8080,1,16,1,16,0,16,1.0,2.1841589139985444,13.170072646666666,65.243437,28.765531569225402,36.4779054307746,17179869184,7501.285687132433
gcc,8080,1,16,2,16,0,16,1.0,2.1470606560014858,13.170072646666666,63.121827,28.276944816339356,34.844882183660644,17179869184,7630.8975967694605
gcc,8080,1,16,3,16,0,16,1.0,2.2236184699995647,13.170072646666666,65.479707,29.28521678836405,36.19449021163595,17179869184,7368.170493746262
gcc,8080,1,16,4,16,0,16,1.0,2.1757420130015817,13.170072646666666,65.264798,28.6546803716356,36.6101176283644,17179869184,7530.304559131611
gcc,8080,1,16,5,16,0,16,1.0,2.1699299559986684,13.170072646666666,66.212458,28.578135158680666,37.63432284131933,17179869184,7550.474131530011
gcc,8080,1,16,6,16,0,16,1.0,2.197177288999228,13.170072646666666,65.778092,28.936984513725953,36.84110748627405,17179869184,7456.840229521304
gcc,8080,1,16,7,16,0,16,1.0,2.1932099659989035,13.170072646666666,63.537135,28.884734581598888,34.652400418401115,17179869184,7470.328994487248
gcc,8080,1,16,8,16,0,16,1.0,2.1221789410010388,13.170072646666666,64.463494,27.949250822209812,36.514243177790185,17179869184,7720.366875505613
gcc,8080,1,16,9,16,0,16,1.0,2.245477688000392,13.170072646666666,66.29186,29.57310427743427,36.71875572256573,17179869184,7296.4430185855135
gcc,8080,1,16,10,16,0,16,1.0,2.1970371679999516,13.170072646666666,65.577664,28.93513910998616,36.64252489001384,17179869184,7457.315806320651
gcc,8080,1,16,11,16,0,16,1.0,2.151435425001182,13.170072646666666,64.031661,28.334560841877742,35.697100158122254,17179869184,7615.380786988296
gcc,8080,1,16,12,16,0,16,1.0,2.1765637759999663,13.170072646666666,65.138721,28.665503050022668,36.47321794997734,17179869184,7527.46148799283
gcc,8080,1,16,13,16,0,16,1.0,2.1386133289997815,13.170072646666666,64.45234,28.165692906056762,36.286647093943245,17179869184,7661.038944175436
